"R0","p.symp","iso_delay_traced_max","iso_delay_untraced_sd_max","sd_contact_rate1","p.trace","p.trace_app","day","scn_id","n.active_Q_05","n.active_Q_25","n.active_Q_50","n.active_Q_75","n.active_Q_95","Quarter","Revenue"
3,0.7,2,1,0.3,0.75,0.75,10,3148,243,281.75,313.5,356.5,407.2,"Rt_Q_25",0.93723506085054
3,0.7,2,1,0.3,0.75,1,10,3508,218.8,268,308,331.5,374.35,"Rt_Q_25",0.765588212956634
3,0.7,2,1,0.3,1,0,10,2140,255.95,288.5,322,372.5,474.15,"Rt_Q_25",1.04701554031313
3,0.7,2,1,0.3,1,0.25,10,2500,246.7,310.75,344.5,382.25,447.1,"Rt_Q_25",1.04526128633271
3,0.7,2,1,0.3,1,0.5,10,2860,242.8,301,324.5,361.5,429.45,"Rt_Q_25",0.980384249219866
3,0.7,2,1,0.3,1,0.75,10,3220,243.15,282.25,320,365.5,432.05,"Rt_Q_25",0.888257575757576
3,0.7,2,1,0.3,1,1,10,3580,212.8,258,297,327.25,379.05,"Rt_Q_25",0.768546964783524
3,0.7,2,1,0.3,0,0,10,1852,238.65,282.75,314.5,361.5,433.25,"Rt_Q_50",1.45307917888563
3,0.7,2,1,0.3,0,0.25,10,2212,234.9,292.75,328,365,420.3,"Rt_Q_50",1.44260639950295
3,0.7,2,1,0.3,0,0.5,10,2572,233.9,282.25,313.5,359.5,409.2,"Rt_Q_50",1.34848014888337
3,0.7,2,1,0.3,0,0.75,10,2932,235.6,276.75,311.5,348.5,411.3,"Rt_Q_50",1.2204307520179
3,0.7,2,1,0.3,0,1,10,3292,207.85,252.75,294.5,326.5,365.5,"Rt_Q_50",0.872286844945437
3,0.7,2,1,0.3,0.25,0,10,1924,247.85,280,318.5,362.25,411.05,"Rt_Q_50",1.41152355396541
3,0.7,2,1,0.3,0.25,0.25,10,2284,239.9,291.5,330,369,423.05,"Rt_Q_50",1.36670943545203
3,0.7,2,1,0.3,0.25,0.5,10,2644,234,284,323,362.25,414.15,"Rt_Q_50",1.3397247706422
3,0.7,2,1,0.3,0.25,0.75,10,3004,228.25,287.75,310,342.25,403.05,"Rt_Q_50",1.15552545698867
3,0.7,2,1,0.3,0.25,1,10,3364,218.95,272,309,339.5,400.1,"Rt_Q_50",0.910606775240685
3,0.7,2,1,0.3,0.5,0,10,1996,241.95,282.75,332,371.25,438.1,"Rt_Q_50",1.35417343513104
3,0.7,2,1,0.3,0.5,0.25,10,2356,229.75,283,312.5,368.25,450.05,"Rt_Q_50",1.33856767831989
3,0.7,2,1,0.3,0.5,0.5,10,2716,247.95,291,326,380.5,433.05,"Rt_Q_50",1.22559874162777
3,0.7,2,1,0.3,0.5,0.75,10,3076,244.85,283.75,312.5,341.5,406.75,"Rt_Q_50",1.08483881563512
3,0.7,2,1,0.3,0.5,1,10,3436,227.85,262.5,306,334.25,377.2,"Rt_Q_50",0.872840247620807
3,0.7,2,1,0.3,0.75,0,10,2068,249.25,294.75,328.5,373.25,427.3,"Rt_Q_50",1.26076397672654
3,0.7,2,1,0.3,0.75,0.25,10,2428,240.9,292,331.5,372.25,424.7,"Rt_Q_50",1.21723460026212
3,0.7,2,1,0.3,0.75,0.5,10,2788,237.8,282.75,324,368.25,417.25,"Rt_Q_50",1.16117128746212
3,0.7,2,1,0.3,0.75,0.75,10,3148,243,281.75,313.5,356.5,407.2,"Rt_Q_50",1.07702642787086
3,0.7,2,1,0.3,0.75,1,10,3508,218.8,268,308,331.5,374.35,"Rt_Q_50",0.882879612825166
3,0.7,2,1,0.3,1,0,10,2140,255.95,288.5,322,372.5,474.15,"Rt_Q_50",1.16173245614035
3,0.7,2,1,0.3,1,0.25,10,2500,246.7,310.75,344.5,382.25,447.1,"Rt_Q_50",1.14665508972133
3,0.7,2,1,0.3,1,0.5,10,2860,242.8,301,324.5,361.5,429.45,"Rt_Q_50",1.08958724202627
3,0.7,2,1,0.3,1,0.75,10,3220,243.15,282.25,320,365.5,432.05,"Rt_Q_50",0.983235837438424
3,0.7,2,1,0.3,1,1,10,3580,212.8,258,297,327.25,379.05,"Rt_Q_50",0.879628482972136
3,0.7,2,1,0.3,0,0,10,1852,238.65,282.75,314.5,361.5,433.25,"Rt_Q_75",1.60162811955641
3,0.7,2,1,0.3,0,0.25,10,2212,234.9,292.75,328,365,420.3,"Rt_Q_75",1.55231615120275
3,0.7,2,1,0.3,0,0.5,10,2572,233.9,282.25,313.5,359.5,409.2,"Rt_Q_75",1.46029707393344
3,0.7,2,1,0.3,0,0.75,10,2932,235.6,276.75,311.5,348.5,411.3,"Rt_Q_75",1.34027897986267
3,0.7,2,1,0.3,0,1,10,3292,207.85,252.75,294.5,326.5,365.5,"Rt_Q_75",0.980970418470418
3,0.7,2,1,0.3,0.25,0,10,1924,247.85,280,318.5,362.25,411.05,"Rt_Q_75",1.53565176516355
3,0.7,2,1,0.3,0.25,0.25,10,2284,239.9,291.5,330,369,423.05,"Rt_Q_75",1.48897773279352
3,0.7,2,1,0.3,0.25,0.5,10,2644,234,284,323,362.25,414.15,"Rt_Q_75",1.48012075643655
3,0.7,2,1,0.3,0.25,0.75,10,3004,228.25,287.75,310,342.25,403.05,"Rt_Q_75",1.23557273053708
3,0.7,2,1,0.3,0.25,1,10,3364,218.95,272,309,339.5,400.1,"Rt_Q_75",1.02313921063921
3,0.7,2,1,0.3,0.5,0,10,1996,241.95,282.75,332,371.25,438.1,"Rt_Q_75",1.48586956521739
3,0.7,2,1,0.3,0.5,0.25,10,2356,229.75,283,312.5,368.25,450.05,"Rt_Q_75",1.44080615942029
3,0.7,2,1,0.3,0.5,0.5,10,2716,247.95,291,326,380.5,433.05,"Rt_Q_75",1.36076568546459
3,0.7,2,1,0.3,0.5,0.75,10,3076,244.85,283.75,312.5,341.5,406.75,"Rt_Q_75",1.21795727636849
3,0.7,2,1,0.3,0.5,1,10,3436,227.85,262.5,306,334.25,377.2,"Rt_Q_75",0.99336658492062
3,0.7,2,1,0.3,0.75,0,10,2068,249.25,294.75,328.5,373.25,427.3,"Rt_Q_75",1.36609808102345
3,0.7,2,1,0.3,0.75,0.25,10,2428,240.9,292,331.5,372.25,424.7,"Rt_Q_75",1.34281342813428
